product_id,product_name,product_description,product_Quantitystock,product_Price,trend_start_date,Product_Weight,Product_sale_date,Product_year,remaining products
327,Lose,Possible way in seek.,37,940.53,2024-05-19,3.4,2024-07-15,2006,1
708,First,Simple everything wide education son.,38,256.6,2024-03-16,3.84,2024-02-27,1999,8
843,Several,Rise especially section this late similar see.,9,927.68,2024-02-22,1.58,2024-03-12,2008,0
207,Nor,Stay laugh child.,9,591.97,2024-06-10,0.69,2024-07-06,1975,19
255,Development,My cost remember customer election seem gun firm.,9,333.08,2024-02-06,2.08,2024-05-19,2018,2
893,Back,Myself activity budget meeting many back item by.,19,383.31,2024-06-14,0.98,2024-06-12,1984,20
580,Institution,Man she guess policy like lawyer face.,22,208.18,2024-02-27,1.73,2024-01-25,1993,1
544,Than,You because painting treatment attack.,29,444.13,2024-03-29,2.14,2024-03-08,1975,3
770,People,Down happen treatment cause very just read.,12,673.66,2024-06-12,1.65,2024-01-04,2000,10
88,Simply,Similar night worry grow push ago which.,35,602.15,2024-05-19,3.56,2024-03-03,2024,15
696,Citizen,Statement peace whom source.,15,607.08,2024-04-08,3.19,2024-04-07,1988,4
543,Eat,Realize nothing eye worker pay continue.,29,866.15,2024-07-10,2.05,2024-06-11,1983,9
312,Admit,Road upon see ten.,42,106.11,2024-03-17,4.19,2024-08-03,1986,13
902,Detail,Scene trade drop administration less.,29,691.05,2024-03-30,1.6,2024-03-04,1972,7
304,Situation,Establish add travel.,13,247.95,2024-05-26,2.95,2024-06-28,1988,12
992,Stop,Write year forward effort leader last.,31,777.16,2024-07-20,2.08,2024-01-14,1983,9
478,Consumer,Yeah guess nation section science and.,32,910.87,2024-08-13,2.22,2024-05-12,2023,3
74,Us,Over material pressure southern rise establish.,2,267.98,2024-08-13,3.64,2024-02-16,1990,20
638,View,Pm success appear dark value say.,25,846.42,2024-03-23,0.67,2024-03-17,2022,16
845,Pattern,Off company information his education eight form.,18,845.25,2024-02-27,4.44,2024-03-04,2012,3
938,Understand,Democrat song grow time.,45,802.87,2024-07-31,3.93,2024-06-13,2011,6
934,Become,After scientist condition people.,33,683.89,2024-07-24,1.3,2024-04-21,1991,12
556,Life,Tax station relate everybody car page Mrs.,24,166.17,2024-01-17,2.73,2024-02-20,2022,14
100,History,Draw expert foot town.,39,673.91,2024-07-24,0.8,2024-05-13,1983,6
191,Police,Final test fire claim today win trade.,18,968.82,2024-03-08,0.69,2024-05-07,2009,19
610,Exactly,Arrive where life nor.,34,850.73,2024-02-22,2.27,2024-05-13,1974,11
771,Student,Down religious picture boy hold.,5,814.31,2024-04-25,3.73,2024-01-10,1992,5
731,Tonight,Business nature protect behind.,30,943.08,2024-04-20,2.23,2024-07-09,2023,9
818,Where,Assume arrive night work sea eye.,24,262.19,2024-07-04,1.38,2024-06-14,2000,11
761,Of,Home blue east central oil.,33,303.41,2024-07-03,2.49,2024-06-26,2016,16
32,Fish,Decision worker form some cost tell.,42,672.43,2024-02-27,1.1,2024-01-12,1986,2
484,Material,Pattern can federal.,32,894.15,2024-02-13,2.08,2024-01-26,1984,1
882,Conference,True of image sense American his magazine.,42,371.5,2024-07-15,2.82,2024-04-09,2004,4
84,These,Tend collection than.,8,613.9,2024-05-09,1.81,2024-01-25,1974,4
613,Nation,Sea investment green down somebody ball national.,50,135.84,2024-06-10,1.48,2024-02-02,2009,14
838,Two,Development history then teacher form.,42,628.99,2024-02-10,4.5,2024-04-21,1980,14
242,Home,Purpose teacher particular success happy drop may decade.,31,539.72,2024-03-22,1.19,2024-05-18,2004,18
615,Check,Wish world tonight its.,35,838.91,2024-03-10,3.75,2024-03-10,1970,0
1,Feeling,Design game administration skin western employee amount.,43,845.75,2024-02-26,2.18,2024-05-16,1979,6
537,Do,Campaign carry quality.,24,834.08,2024-04-25,4.5,2024-05-28,2017,12
546,Despite,Health after article mission accept suddenly resource note.,43,208.87,2024-05-31,4.79,2024-02-09,1995,13
549,Behind,Nice develop entire four at ahead anything another.,43,106.89,2024-02-29,0.6,2024-06-24,1984,8
517,Government,Design often it also identify information figure.,19,380.05,2024-08-05,2.87,2024-01-07,1982,13
738,Not,Leader car under bit.,9,364.61,2024-05-17,4.04,2024-04-12,1981,4
979,Agency,Letter yourself record painting woman father.,26,302.72,2024-04-24,4.82,2024-05-15,1972,13
804,During,Cause usually owner.,20,112.58,2024-06-21,2.88,2024-06-01,1981,18
891,Management,Issue some say interview sign activity small pretty.,35,810.27,2024-04-27,2.44,2024-08-11,1985,5
524,Arrive,Guy prepare give.,44,564.93,2024-06-23,3.28,2024-07-17,1987,6
768,Accept,Blue trip senior around international run drop.,25,336.18,2024-02-26,2.61,2024-01-06,1987,17
887,Loss,Skill live rest professional.,20,551.72,2024-06-26,2.93,2024-01-11,2002,17
326,Protect,Early because travel why community.,9,704.23,2024-03-10,1.54,2024-03-24,1974,18
